,cr,CrType,Sentiment,Knowledge,UltimateCategory
907,debug日志？,1,0,0,4
908,删除测试url,1,1,0,1
909,确认下是必要的吗,1,0,0,4
910,return注释跟实际不一致，另外为什么一个是get 一个是fetch,1,0,0,4
911,同1个类中，变量命名是否添加m前缀保持一致,1,1,1,0
912,这个应该是复数字符串定义，请跟A_NAME、A_NAME确认,1,1,1,0
913,已经加了注解了，这里的校验就不要了,1,1,1,0
914,这个为啥要删掉？,1,0,0,4
915,symbol和code使用不一致,1,0,0,4
916,这里改成所有异常都是要重新登录吧，不用判断返回码等于多少。,1,1,1,0
917,关注日志级别,1,0,0,4
918,日志级别,1,0,0,4
919,注意提供日志,1,0,0,4
920,TAG定义不统一,1,0,0,4
921,日志,1,0,0,4
922,version建议打印到日志中,1,1,0,1
923,需要确认iconLocalAll是否可能为null，如果为null，这个for循环会出现空指针。,1,1,1,0
924,这个表会有多少数据量？,1,0,0,4
925,透明度是设置给文字颜色还是TextView背景,1,1,0,1
926,"1、使用ViewUtil设置点击事件；
2、判断应该放到点击事件响应中，而不是设置中",1,1,1,0
927,不需要final,1,1,0,1
928,修改初始化的地方,1,1,0,1
929,注释跟上面代码需要增加1个空行,1,1,0,1
930,子类的成员变量还是m开头，还会使用父类的成员变量，则不带m开头，请统一,1,1,1,0
931,存在多线程问题,1,0,0,4
932,常量类一般定义为interface,1,1,1,0
933,无用的样式删掉，这个info里面应该不会有errorinput。,1,1,1,0
934,关注日志级别,1,0,0,4
935,为什么这个地方要new File?,1,0,0,4
936,"1、callback有可能为空；
2、errMsg最好也回带出去",1,1,1,0
937,return 注释跟实际不一致,1,0,0,4
938,需要填写内容,1,1,0,1
939,应该包含支付的部分,1,1,1,0
940,发送方直接告知类型,1,1,1,0
941,"IImageLoadListener本身与慢动作业务无关联，
移至com.huawei.common.image",1,1,1,0
942,注释写错了,1,0,0,4
943,还有一种情况：只有会员产品包，账号是会员,1,1,1,0
944,CP应该不属于TVod类型,1,1,1,0
945,"商用版本设备ID白名单最大支持2万个。
内测版本设备ID白名单最大支持3000个。
所以要根据版本的类型来进行判断",1,1,1,0
946,这段逻辑，有问题吧。是不是不用默认值。,1,0,0,4
947,"1、单例对象应该定义成final的；
2、工具类直接定义成static的方法",1,1,1,0
948,"1、了解下其它meta-data中的theme是否一致；
2、看下launchMode是否需要额外设置",1,1,1,0
949,类注释,1,0,0,4
950,日志,1,0,0,4
951,应该判断datas,1,1,0,1
952,建议用StringUtil,1,1,1,0
953,TAG 跟类名不一致,1,0,0,4
954,不需要写if else,1,1,0,1
955,多处使用，定义常量,1,1,0,1
956,代码格式问题,1,0,0,4
957,去掉同步锁,1,1,0,1
958,这个逻辑写到startUpload中即可,1,1,0,1
959,本地不应该保存数据源，以viewmodel或者adapter为准,1,1,1,0
960,有更好的写法，不用每个表都写一个存储过程，请联系A_NAME，让A_NAME教你们下,1,1,1,0
961,查询时设置了数据库路由，插入时为什么不设置数据库路由？,1,1,0,1
962,异常不处理的啊？,1,0,0,4
963,"AbsImageAsyncTask本身与慢动作业务无关联，
移至com.huawei.common.image",1,1,1,0
964,"不要直接对列表赋值；
这种实现方式中，clear方法有什么意义？",1,1,1,0
965,魔鬼数字，StringUtils里有常量,1,0,0,4
966,不建议把数据库用户写在这个地方，可能搭建环境的时候可以用不同的数据库用户名,1,1,1,0
967,金额可能是0.00吗？,1,0,0,4
968,点击了哪个类型的加下日志,1,1,0,1
969,需要增加注释,1,1,0,1
970,确认是否必要,1,0,0,4
971,竖屏单词拼写错误,1,1,0,1
972,"1. 注释不对
2. 顺序由里向外定义，太乱",1,0,0,4
973,url可以从VodInfo中获取,1,1,1,0
974,"嵌套太深，建议写成
if (XXX) {
  return;
}
if (XXX) {
  return;
}",1,1,1,0
975,"大小不要一会用em，一会用px，统一参考其他页面用rem。
计算方法：标注/20,比如标注38px就写1.9rem。",1,1,1,0
976,已经有makeToast方法了,1,1,1,0
977,为什么这个地方要new File?,1,0,0,4
978,增加1个空行,1,1,0,1
979,TODO都去掉，不一一列举了,1,1,0,1
980,输入校验，用angular自带的form $validate试试，参考完善个人信息弹出框。在business.ctrl.js中。规则也保持一致。,1,1,1,0
981,多余的标签,1,0,0,4
982,数值放到dimen.xml,1,1,1,0
983,不安全的强转，后续修改了类型可能crash,1,1,1,0
984,使用工具类ViewUtils,1,1,1,0
985,TA_CodeSnippet,,0,0,
986,最好格式化一下,1,1,0,1
987,两种卡券都有可能送，需要和UX确认代金券如何提示，以及同时送观影券和代金券的时候如何展示,1,1,1,0
988,这个透明度是要设置给TextView背景的还是文字颜色？,1,1,0,1
989,抽常量,1,1,0,1
990,注意日志级别,1,1,0,1
991,方法复杂度太高，建议抽取不同的函数进行处理,1,1,0,1
992,为什么不批量删?,1,1,0,1
993,不是有Factory类吗，为啥还要自己new,1,1,0,1
994,多余,1,1,0,1
995,mOnItemFunctionClick外层已经判null了,1,1,0,1
996,放在model里,1,1,0,1
997,这里注释与下面重复，应该是当处于竖屏分屏的下屏时,1,1,1,0
998,fragStore是否可能为空？,1,1,0,1
999,不用的请删除,1,1,0,1
1000,空格,1,1,0,1
1001,为什么要换行,1,0,0,4
1002,不需要try,1,1,0,1
1003,没必要打日志,1,1,0,1
1004,直接非空处理就行了，没必要多一个continue。,1,1,0,1
1005,搞个static方法得了吧?,1,1,0,1
1006,异常情况怎么处理,1,0,0,4
1007,如果从服务端获取失败怎么办,1,0,0,4
1008,"数组元素数量已知的情况下,新建数组请给予默认大小",1,1,0,1
1009,"可以直接修改该方法返回值类型,而不用在外面做强转",1,1,0,1
1010,硬编码魔鬼数字,1,0,0,4
1011,海外国内判断方法统一,1,1,0,1
1012,主线合入是提出统一方法,1,1,0,1
1013,finally呢?,1,0,0,4
1014,缓存相关的常量定义，放到缓存相关的段落,1,1,0,1
1015,不能理解这样的实现,1,0,0,4
1016,phone和pad item布局文件尽量使用1个，目前你的两个文件差异就比较小，你的每次改动都需要同时修改2个文件，改动量多且很容易遗漏修改,1,1,1,0
1017,viewHolder 这个局部变量是多余的,1,1,0,1
1018,一般界面展示的TextView的size都使用sp单位，特殊情况除外，你这个场景我认为不是特殊场景,1,1,1,0
1019,参数可读性,1,0,0,4
1020,"这个是内部使用的intent，应该是不和包名强相关的，
其他类似这样命名的，可以知会一并改一下",1,1,1,0
1021,get(0) 增加1次判null,1,1,0,1
1022,"有两处HVS错误码；
不同的错误码可以定义不同的内部类包装一下",1,1,1,0
1023,强转没有加intance of先判断下,1,1,1,0
1024,请使用统一工具类ActivityUtils,1,1,1,0
1025,后续注意，注释跟上面代码之间增加1个空行,1,1,0,1
1026,import包顺序不对,1,0,0,4
1027,已经合入判断国内海外的通用方法，看下是否需要统一替换,1,1,1,0
1028,不需要传type了,1,1,0,1
1029,这边也都不需要删,1,1,0,1
1030,发送之前就要进行clear吗,1,0,0,4
1031,代码中怎么打的都是error的日志,1,0,0,4
1032,仔细看接口文档 className是否是item的一个属性 这里用className是否会引起歧义,1,1,1,0
1033,不要使用拼接方式，用预处理好点吧,1,1,0,1
1034,这块代码不要上库,1,1,0,1
1035,日志中需要打印错误码,1,1,0,1
1036,无用局部变量,1,0,0,4
1037,这个sp是否会有影响,1,0,0,4
1038,这个类也应该是多余的吧，callback一个就够了,1,1,0,1
1039,"两个分支日志完全一致,不利于排查和定界问题",1,0,0,4
1040,"加下注释：
老用户可能也展示A_NAME，但不会触发加A_NAME相关流程？因为跟用户身份有关系？",1,1,1,0
1041,都不去根据品质鉴权了？这就乱了吧。,1,0,1,2
1042,不用的删除,1,0,0,4
1043,这个路径哪儿用的,1,0,0,4
1044,这个标记位应该是false，表示服务器数据为空,1,1,0,1
1045,国内版deviceId必须要传IMEI号,1,1,1,0
1046,不能每次计算size，先计算好,1,1,0,1
1047,缓存的at 没加密？,1,1,0,1
1048,如果是用户级的接口，名字我们重命名下叫userGetAttr吧,1,1,0,1
1049,直接字符串拼接就行了，不用format,1,1,0,1
1050,不是半小时么？,1,0,0,4
1051,优先返回false，主流程返回true,1,1,1,0
1052,补充日志,1,1,0,1
1053,这个圈复杂度一定超标,1,0,0,4
1054,先不加,1,0,0,4
1055,"if中有return的，代码可以简化一下
iA_CodeSnippet",1,1,0,1
1056,public方法，参数callback可能为null,1,0,0,4
1057,import包顺序不对,1,0,0,4
1058,"RoundImageView这个功能比较简单（只支持圆形），代替原setAccount中的实现，建议暂时保留。
这个类实现了Picasso的Target，支持直接使用：PicassoFacade.loadAccountImage(headPic, imageView);",1,1,1,0
1059,测试代码，已去掉,1,0,0,4
1060,不需要传type了,1,1,0,1
1061,使用ActivityUtil中的启动方法处理,1,1,1,0
1062,不需要try,1,1,0,1
1063,需要考虑response响应为空的情况,1,1,1,0
1064,增加注释，该锁可以不加，规避codedex问题。,1,1,1,0
1065,"这种实现不好, 万一mIcon字段可以被控制, 就又是一种注入了

直接统一为uri不行么?",1,1,1,0
1066,函数功能要单一,1,0,0,4
1067,这儿没判null,1,1,0,1
1068,resp不会为null,1,1,0,1
1069,多余的,1,1,0,1
1070,errorCode和msg之间加分隔符，便于阅读,1,1,1,0
1071,国内版deviceId必须要传IMEI号,1,1,1,0
1072,会产生大量无用变量，在for循环外定义,1,1,1,0
1073,本地配置不需要上传,1,1,0,1
1074,记录日志,1,0,0,4
1075,getItems（）返回可能为null,1,1,0,1
1076,日志问题,1,0,0,4
1077,"为""""怎么处理 为什么不用公共方法判断，下面几个都需要统一整改",1,0,0,4
1078,是否要判空,1,0,0,4
1079,不专业了啊,1,0,0,4
1080,增加一个string类型入参的方法，并且保存到SP用Boolean类型存,1,1,1,0
1081,问题单号不对,1,0,0,4
1082,为何要重新读一遍?,1,0,0,4
1083,PAD PC化时，没有起播时就双击屏幕，如果不能大小屏切换，测试会不会认为是问题？,1,0,1,2
1084,注释格式不对，请排查整改,1,1,0,1
1085,使用ResUtils getString,1,1,1,0
1086,类名不合适，如果只是更新跳动符，就起跳动符相关的逻辑。,1,0,0,4
1087,productID已经是成员属性了，为什么还要作为参数传入？？？,1,0,0,4
1088,这个类可以删掉,1,1,0,1
1089,冗余代码，请使用MultiOperatorConfigUtil,1,1,1,0
1090,版本号、时间不对,1,0,0,4
1091,多了个空格,1,1,0,1
1092,防止混淆出错,1,0,0,4
1093,"1. 改成 if else  不要重复判断了
2. return的逻辑整理一下",1,1,0,1
1094,IPayCallback里面有ErrorCode，会冲突,1,1,1,0
1095,直接传递intent即可,1,1,0,1
1096,使用字符串资源,1,1,0,1
1097,魔鬼数字,1,0,0,4
1098,"1. round返回的已经是int了，不需要强转
2. showShortVideoPosterView传入的参数mIsFirstStartPlay没有必要，选择展示什么界面的逻辑不需要放到view层
3. 1 最好写成常量MIN_FILE_SIZE",1,1,1,0
1099,确认下是否为空,1,0,0,4
1100,私有构造，类定义请添加final,1,1,1,0
1101,是测试代码吗,1,0,0,4
1102,"应用层不要直接抛运行时异常, 没人会想到要处理的, 会直接导致应用崩掉",1,1,1,0
1103,"为何不在加载图片之前先设置好, 我觉得这个callback没有任何必要",1,0,0,4
1104,为何要修改这个逻辑?,1,0,0,4
1105,缺少日志,1,0,0,4
1106,同样的问题,1,0,0,4
1107,一定是美团吗,1,0,0,4
1108,sql 独立到一起，不要散落到代码中,1,1,0,1
1109,未添加主题,1,0,0,4
1110,为什么要用Long?,1,0,0,4
1111,这里漏改了吧？都走不到if里,1,0,0,4
1112,这些逻辑都不要有，这里只做解析,1,0,0,4
1113,代码格式,1,0,0,4
1114,这种类型应该可以定义成常量或者枚举值,1,1,0,1
1115,注释和上面代码直接增加1个空行,1,1,0,1
1116,不用重复赋值,1,0,0,4
1117,加上try/catch Exception,1,1,0,1
1118,确认下这个地方是不是编码问题？怎么是重复的,1,0,0,4
1119,需要fitXY吗？,1,0,0,4
1120,常量放左边，变量放右边,1,1,0,1
1121,"为""""怎么处理 为什么不用公共方法判断，下面几个都需要统一整改",1,0,0,4
1122,这行日志是否有意义,1,0,0,4
1123,缓存数据需要清除为什么会影响接口的调用？应该仅仅影响缓存数据是否可用,1,0,0,4
1124,我之前培训都白搞了是吧?,1,0,0,4
1125,这个地方还有TODO，可以利用IDEA的todolist排查,1,1,1,0
1126,checkstyle--->UADP,1,0,0,4
1127,打印warn的日志即可,1,1,1,0
1128,View中不应该有购买产品的接口,1,0,1,2
1129,null == newItem 放前面，这样好理解一点。,1,1,0,1
1130,这种写法要进行三次hash的运算，只需要一次取出数据，判断是否为null，然后操作数据即可,1,1,1,0
1131,"这里是new出来的, 可能== null吗? 你是不是又没检查告警?",0,0,0,7
1132,这里？,1,0,0,4
1133,代码格式问题,1,0,0,4
1134,无文件注释,1,0,0,4
1135,1是什么意思?,1,0,0,4
1136,入口日志打在上面,1,1,0,1
1137,重复调用,1,0,0,4
1138,这个sp是否会有影响,1,0,0,4
1139,国内版本后续可能需要考虑相关字段加密,1,1,1,0
1140,需要定义常量，避免魔鬼数字,1,1,0,1
1141,文件句柄需要关闭,1,1,1,0
1142,当前的channelname拿不到吗? 为何要重新查数据库?,1,0,0,4
1143,重复代码!!,1,0,0,4
1144,放开欧洲调用后，HisyncBaseReq 类里要把鉴权做进去。否则就是安全问题。,1,0,1,2
1145,只删isSimCardLock就可以,1,1,0,1
1146,there is no check. why this method is named so?,0,0,0,7
1147,欧洲版本，portal以及以后客户端都会传at，传的at是urlencode过的。这里会重复encode。,1,0,1,2
1148,共用方法有Intent.FLAG_ACTIVITY_NEW_TASK,1,1,1,0
1149,各个分支添加日志,1,1,0,1
1150,原来的逻辑没有cancel吗? 为何需要自己新增加?,1,0,0,4
1151,"日志；
else的场景的处理",1,0,0,4
1152,return 多余,1,1,0,1
1153,"用法完全不对, 这么用和普通的boolan是一样的了",1,0,0,4
1154,命名问题,1,0,0,4
1155,为啥要这样实现？不能在ChromeTabbedActivity的onResume或者什么方法里刷新？,1,0,0,4
1156,"...
后面的类还有多处，统一整改",1,0,0,4
1157,final,1,1,0,1
1158,"翻译部要求：开发上传中英文字符串不允许带priority=""LT""，改配置项只能由翻译部提交，有多处，请修改",1,1,1,0
1159,"1. 有可能多余
2. receiver定义重复
3. 数组越界风险",1,1,0,1
1160,{}加上,1,1,0,1
1161,该设计不够简洁,1,0,0,4
1162,代码合进来这个应该不需要了,1,1,0,1
1163,强转前需要进行instance of 判断,1,1,1,0
1164,建议定义成private,1,1,0,1
1165,setImageResource使用工具类ViewUtils,1,1,1,0
1166,命名规则最好保持一致，现在有的有ERROR，有的没有,1,1,1,0
1167,把原EventConstant.LOG_VERSION删除,1,1,0,1
1168,"只走这一个url
urlGateWay = SystemConfiguration.getValue(SystemConstants.NSP_UM_VFS_GW_URL);",1,1,1,0
1169,两个key 归一，将sys.eu.properties中的key改成跟国内一致，value不同。,1,1,1,0
1170,上库前要更新下，这边被还原,1,1,1,0
1171,此处的日志建议增加打印size,1,1,1,0
1172,为毛有个定制化的东西,1,0,0,4
1173,这块不太好吗，后续可能会有findbugs,1,0,0,4
1174,后续请注意，一次提交对应1个单号，混在一起无法识别,1,1,1,0
1175,是否需要判断NAS路径是否已经获取,1,1,1,0
1176,无意义的修改,1,0,0,4
1177,变量定义小写开头,1,1,0,1
1178,变量定义小写开头,1,1,0,1
1179,命名,1,0,0,4
1180,??? 不是说了不能简单的判空?,1,0,0,4
1181,为何要增加这个?,1,0,0,4
1182,"查一下内核是否有类似接口, 我感觉应该有才对啊",1,0,0,4
1183,在调用处处理，不要在这里抛异常。,1,0,0,4
1184,这两个线程变量怎么没清？,1,0,0,4
1185,为什么是chromeactivity? 不是baseactivity吗?,1,0,0,4
1186,"版本号要固定, 直接把aar放到aar里头, 同时找朝晖申请",1,1,1,0
1187,这里应该使用常量类，NUM_11是魔鬼数字,1,1,0,1
1188,这里如果getIndexNames返回结果为null，下面就会空指针,1,0,0,4
1189,字体大小的话 是控件来控制吗,1,0,0,4
1190,"不需要写这么多的if else
前两个if用 && 合并
最后一个if else写成
mOnViewControlListener.onFullChange(!LiveData.getInstence().isPlayerFull())，4行代码应该就可以了，可以考虑写的简洁一些",1,1,1,0
1191,这个不能再正常逻辑里搞分支吗？为啥要写在异常里？,1,0,0,4
1192,业务默认值不允许写在这里,1,0,0,4
1193,说过很多次了，这是魔鬼常量，定义了有什么用？没有任何意义,1,0,1,2
1194,格式化,1,1,0,1
1195,版本号不对,1,1,0,1
1196,import 顺序问题，需要注意,1,0,0,4
1197,tag添加公共头,1,1,0,1
1198,局部变量名不正确,1,0,0,4
1199,删除,1,1,0,1
1200,优先处理false分支，最后返回true,1,1,1,0
1201,这些方法应该添加注释,1,1,0,1
1202,判空处理,1,1,0,1
1203,参数名称要规范,1,0,0,4
1204,抽取方法,1,1,0,1
1205,要考虑到null的场景，是否有可能？,1,0,0,4
1206,建议使用对象类型,1,1,1,0
1207,startActivity请使用统一工具类ActivityUtils,1,1,1,0
1208,如果tabBriefs为null，mResTabs的赋值还有意义吗？,1,0,0,4
1209,命名不合理，是跳转到应用主页的逻辑。,1,1,0,1
1210,空额!!!!!!!!!!!!!!!!!!!!!,1,1,0,1
1211,直播的错误码，建议另外用一个单独的类来转换,1,1,1,0
1212,不要把业务逻辑放在这个类里头,1,1,0,1
1213,如果进程安全退出的时候，没有跳出这个循环。,1,1,0,1
1214,不需要定义变量了,1,1,0,1
1215,import顺序不符合项目组统一规范,1,0,0,4
1216,一定是美团吗,1,0,0,4
1217,注意一下格式，太长了,1,0,0,4
1218,请确实是不是需要long，使用的过程中多次出现long转int，如果不是必要，建议此处定义就直接使用int，避免强转,1,1,1,0
1219,fixXY,,0,0,
1220,这个逻辑不对啊，应该要判读BFM传入的那个isforced参数，如果是2的话，就不要调运营商退订接口了,1,1,1,0
1221,没有必要再判断了,1,1,0,1
1222,"和产品 UI沟通清楚，这个这么记得话，效果很差。
睡眠的那个是全局的，而且跟歌曲不关联。
这个每个歌曲的是不是得单独记录位置？或者这个选中到底有什么意义？
建议不改",1,1,1,0
1223,会有checkstyle,1,0,0,4
1224,不能直接失效,1,0,0,4
1225,getUdidInSP  提出一个公共赋值,1,1,1,0
1226,26才有的属性，低版本有crash风险,1,1,1,0
1227,建议把appid 打出来,1,1,0,1
1228,强校验是加密的才能走下去,1,1,1,0
1229,判断放前面,1,1,0,1
1230,这个需要持久化吗？,1,0,0,4
1231,变量没有用到,1,0,0,4
1232,修改内容改成多渠道打包重新命名,1,1,1,0
1233,不能直接从asset里头读取吗?,1,0,0,4
1234,这些都不加日志?,1,0,0,4
1235,这个用户事件捕获还要做监听,1,1,1,0
1236,逻辑有问题,1,0,0,4
1237,"1、此处也存在空消息需要过滤掉；
2、空消息记录下日志",1,1,1,0
1238,继承BaseRecyclerViewAdapter,1,1,0,1
1239,这里为什么要加缓存时间？多余的操作,1,0,0,4
1240,这里也做成常量吧，所有的外部接口参数原来应该已经有一个常量类了,1,1,1,0
1241,"大量硬编码dimens,应抽取",1,1,1,0
1242,版本号不对,1,0,0,4
1243,建议打印info的日志,1,1,0,1
1244,【安全】打印用户播放的影片名称，泄露隐私,1,0,1,2
1245,增加注释,1,1,0,1
1246,看下代码有没有做到at鉴权,1,0,0,4
1247,这个最好写在finally里，防止出现其它异常没执行到,1,1,1,0
1248,会阻塞,1,0,0,4
1249,这个哪儿抛出来的?,0,0,0,7
1250,这个不能删,1,1,0,1
1251,如果getproductList失败了，获取权益的接口成功了，最终会回调两次？,1,0,1,2
1252,"1、使用ActivityUtil启动Activity；
2、Fragment中可以直接通过getActivity拿到Activity，为什么还要通过context进行强转",1,1,1,0
1253,后续注意，没有Author这个；TicketNo要跟实际匹配,1,1,1,0
1254,这里需要safeBundle,1,1,0,1
1255,含义不明，提常量,1,1,0,1
1256,引用公共定义,1,1,0,1
1257,tag错误,1,0,0,4
1258,这个调用的地方要改。,1,1,0,1
1259,这个构造函数不合理，不要把这些信息传到callback里，callback里只负责解析响应，至于响应的逻辑，要在外面处理,1,1,1,0
1260,这个类也要删掉，用不到,1,1,0,1
1261,这里看看，最好能把所有的moduleName改成常量，虽然不是魔鬼数字的范畴，但后面查看代码会方便些。,1,1,1,0
1262,代码格式化,1,1,0,1
1263,版本号不对,1,0,0,4
1264,不用重复赋值,1,1,0,1
1265,"再加一个final
inspect 看看",1,1,0,1
1266,不要定义重复变量code,1,0,0,4
1267,修改为正确值,1,1,0,1
1268,形参命名无意义,1,0,0,4
1269,这里有问题。传null就行，要查所有的属性出来，ext 字段不能缺。,1,1,1,0
1270,AT 要加密,1,1,0,1
1271,这个不需要强转,1,1,0,1
1272,此布局文件中硬编码了大量的尺寸，这不是UI多样性适配的编程习惯，请抽取到dimen中；本次提交的布局文件中请统一排查修改,1,1,1,0
1273,是否需要判空,1,0,0,4
1274,参数可读性,1,0,0,4
1275,日志类型,1,0,0,4
1276,参数可读性,1,0,0,4
1277,字段描述文件，使用一份固定的文件就可以，不需要每次临时生成。,1,1,1,0
1278,hand? 是不是应该命名handle,1,1,0,1
1279,TAG已经是BaseSplashActivity，日志描述中的BaseSplash--多余了,1,0,1,2
1280,import 顺序存在问题,1,0,0,4
1281,"这个方法, 为什么叫""add""? 只是创建了一个而已吧",0,0,0,7
1282,这两个接口太细节了,1,0,0,4
1283,判断是否创建成功,1,0,0,4
1284,刚创建出本地路径时，localPathFileNames变量为空，下面代码用localPathFileNames时会报错,1,0,1,2
1285,一定是美团吗,1,0,0,4
1286,基类中有execSQL4Batch， 有啥问题？,1,0,0,4
1287,orderParam 定义和初始化放在一行即可,1,1,0,1
1288,继承BaseRecyclerViewAdapter，减少代码,1,1,0,1
1289,无用局部变量,1,0,0,4
1290,单纯tag无法区分各页面,1,0,0,4
1291,参考之前的意见，多余的改动,1,0,0,4
1292,缺少日志,1,1,0,1
1293,参数不对,1,0,0,4
1294,不要info,1,1,0,1
1295,需要定义常量，避免魔鬼数字,1,1,1,0
1296,import顺序,1,0,0,4
1297,initUdid 方法统一处理,1,1,0,1
1298,国内版deviceId必须要传IMEI号,1,1,1,0
1299,没有toString，不符合军规,1,0,0,4
1300,不是已经在主线程了吗? 为何还要用这个方法,1,0,1,2
1301,url key 归一后这两个userDelFiles 方法应该可以复用了,1,1,1,0
1302,记录日志,1,1,0,1
1303,补齐日志,1,1,0,1
1304,日志,1,0,0,4
1305,日志类型,1,1,0,1
1306,需要一个空格,1,1,0,1
1307,格式不对,1,0,0,4
1308,"这个看起来好像更好, 在sdk-fwk里头也有一个roundedImageView, 看哪个比较好, 留一个即可.

通用的东西放sdk-fwk, 以后可以供其他应用重用",2,1,1,
1309,LANDSCAPE_BUTTON_WIDTH = 330; ?? 从哪来的数值， 一般都是边距,0,1,0,5
1310,有没有并发问题?,1,1,0,1
1311,为什么会有这种成员?,1,0,0,4
1312,逻辑有问题,1,0,0,4
1313,这里不用打印完整信息，只打印id就行了,1,1,0,1
1314,日志需要打印错误码,1,1,0,1
1315,命名与实际代码功能不符,1,0,0,4
1316,"元素为0,可由下面分支处理",1,1,0,1
1317,"1、fragment中可以直接拿到Activity，不需要定义全局的变量缓存
2、Listenter会被外部直接使用吗？不会的话建议直接弄成非静态内部类",1,1,1,0
1318,这个调用的地方要改。,1,1,0,1
1319,测试代码？,1,0,0,4
1320,各业务调用需要处理异常。或者底层统一捕获,1,1,1,0
1321,版本号不对,1,0,0,4
1322,格式化,1,0,0,4
1323,num的设置有逻辑问题,1,0,0,4
1324,modulename都改成常量吧,1,1,0,1
1325,同userdelfile,1,0,0,4
1326,"urlGateWay = SystemConfiguration.getValue(SystemConstants.NSP_UM_VFS_GW_URL);
应该就只走这一个url，其他分支应该没有。",1,0,1,2
1327,记录日志,1,1,0,1
1328,常量放左，变量放右,1,1,0,1
1329,后面注意尺寸这些都不要硬编码，不符合Android UI多样性适配的思想,1,1,1,0
1330,这2个判断合到1行即可,1,1,0,1
1331,注释文件名与类名不一致,1,0,0,4
1332,需要统一用ActivityUtils.safeStartActivity,1,1,0,1
1333,这种打印方式在日志系统里无效，请修改,1,1,1,0
1334,这个权限和上面的有什么区别?,1,0,0,4
1335,8.1.1.101  or  8.1.2.101  ??,1,0,0,4
1336,说了一万遍了，不允许自己单独使用SharedPreference,0,0,1,6
1337,try 不需要,1,0,0,4
1338,"catch个异常, 另外, 有没有测试没有安装微信/微博等xx的手机?",1,1,0,1
1339,ResUtils.getString 即可,1,1,0,1
1340,逻辑有问题,1,0,0,4
1341,这个是有可能为空的,1,0,0,4
1342,ColumnId可区分,1,0,0,4
1343,"可以直接修改该方法返回值类型,而不用在外面做强转",1,1,1,0
1344,版本号、时间不对,1,0,0,4
1345,需要判空,1,1,0,1
1346,import 顺序问题,1,0,0,4
1347,需要集成jsonBean,1,1,0,1
1348,checkstyle,1,0,0,4
1349,为什么删这个注释？,1,0,0,4
1350,用SafeBroadcastReceiver,1,1,0,1
1351,请修改为Tools工程的castutils,1,1,0,1
1352,这个方法会调用比较频繁，间距调整没有问题后，日志请删除，否则会影响帧率测试。,1,1,1,0
1353,常量 2 是否要final申明下,1,1,0,1
1354,会不会为空的情况,1,0,0,4
1355,空格,1,0,0,4
1356,注释要跟上面的代码直接增加1个空行,1,1,0,1
1357,布局多的这一层没有必要，一层容器即可满足,1,1,0,1
1358,这些地址是否有国内和海外的差异,1,0,0,4
1359,接口层面的，建议都使用对象类型，,1,1,1,0
1360,mCallback可能为null，这个问题之前提过，强化一下意识,1,0,1,2
1361,格式没对齐,1,0,0,4
1362,"需要使用统一的                ActivityUtils.safeStartActivity(getContext(), intent);封装，防止出现crash异常",1,1,0,1
1363,服务和活动挂接时，共享文件夹可能还在加载，此处获取共享文件夹路径是否合适，需不需要对共享文件夹路径判空,1,1,0,1
1364,非新增代码，格式化代码位置变了，在原代码1134行,1,1,0,1
1365,建议用常量,1,1,0,1
1366,魔鬼数字,1,0,0,4
1367,控件层的东西 放在控件层统一封装 维护,1,1,1,0
1368,不需要在写一个makeToStringBuilder()方法，只需要些toString即可,1,1,1,0
1369,toString方法没有，其他自动生成的类也是的，不一一列举了,1,0,0,4
1370,这些类太多啦，可以考虑打到一个jar包里,1,1,1,0
1371,import顺序,1,0,0,4
1372,最好把逻辑的层的数据对象带上,1,1,0,1
1373,需要定义常量，避免魔鬼数字,1,1,1,0
1374,版本号不对,1,0,0,4
1375,改成ErrorCode.MEDIA_ERROR_BUFFER_TIME_OUT，很多行就变成一行了，显得清晰很多,1,1,0,1
1376,硬编码魔鬼数字,1,0,0,4
1377,这个是违反隐私规定的，不能直接打印，可匿名或者加密处理,1,1,1,0
1378,不要隐藏剧集付费的费用弹出框？,1,1,0,1
1379,使用字符串资源,1,1,0,1
1380,为啥要这样实现？不能在ChromeTabbedActivity的onResume或者什么方法里刷新？,0,1,0,5
1381,为啥要起线程？,1,0,0,4
1382,此处注释与代码逻辑矛盾,1,0,0,4
1383,删除签署记录的结果不需要回调出去？,1,1,0,1
1384,调试日志删掉,1,1,0,1
1385,这个不能删,1,1,0,1
1386,不需要删,1,1,0,1
1387,"English please..
而且一般第一个参数都是TAG（类名）吧。。",1,1,1,0
1388,不需要try,1,1,0,1
1389,不需要try保护了,1,1,0,1
1390,不要用魔鬼数字 或者让人理解不了的字符串 尽量用常量代替,1,1,1,0
1391,常量注释呢,1,0,0,4
1392,注释与方法实现不一致,1,0,0,4
1393,有大写字母,1,0,0,4
1394,判空?,1,1,0,1
1395,无用局部变量,1,0,0,4
1396,放到ui-skytone 图片资源也是，之前是用jar没办法,1,1,1,0
1397,日志描述,1,1,0,1
1398,版本需要修改,1,1,0,1
1399,各业务自己定义常量，不要出现魔鬼字符串,1,1,1,0
1400,后续没有重复类的时候需要整改，有两处,1,1,0,1
1401,可以删除,1,1,0,1
1402,注释代码不要上传,1,1,1,0
1403,入参命名无意义,1,0,0,4
1404,需要再新增一个begintime入参吗？,1,0,0,4
